거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-06,9,인천시,태양광,2.338453
2024-01-06,10,인천시,태양광,11.065781
2024-01-06,11,인천시,태양광,18.961232
2024-01-06,12,인천시,태양광,24.850926
2024-01-06,13,인천시,태양광,27.789036
2024-01-06,14,인천시,태양광,28.20067
2024-01-06,15,인천시,태양광,24.020032
2024-01-06,16,인천시,태양광,16.246236
2024-01-06,17,인천시,태양광,10.525045
2024-01-06,18,인천시,태양광,6.678134
2024-01-06,19,인천시,태양광,2.194873
2024-01-06,20,인천시,태양광,2.163402
2024-01-06,21,인천시,태양광,1.344632
2024-01-06,22,인천시,태양광,0.415412
2024-01-06,23,인천시,태양광,0.02856
2024-01-06,24,인천시,태양광,0.0
2024-01-07,1,인천시,태양광,0.0
2024-01-07,2,인천시,태양광,0.0
2024-01-07,3,인천시,태양광,0.0
2024-01-07,4,인천시,태양광,0.0
2024-01-07,5,인천시,태양광,0.0
2024-01-07,6,인천시,태양광,8e-05
2024-01-07,7,인천시,태양광,0.0
2024-01-07,8,인천시,태양광,0.002431
2024-01-07,9,인천시,태양광,0.569599
2024-01-07,10,인천시,태양광,3.155172
2024-01-07,11,인천시,태양광,6.528868
2024-01-07,12,인천시,태양광,11.539899
2024-01-07,13,인천시,태양광,18.420099
2024-01-07,14,인천시,태양광,23.746089
2024-01-07,15,인천시,태양광,22.984735
2024-01-07,16,인천시,태양광,17.651509
2024-01-07,17,인천시,태양광,10.832289
2024-01-07,18,인천시,태양광,5.999822
2024-01-07,19,인천시,태양광,2.347705
2024-01-07,20,인천시,태양광,0.725681
2024-01-07,21,인천시,태양광,0.185113
2024-01-07,22,인천시,태양광,0.00672
2024-01-07,23,인천시,태양광,0.0012
2024-01-07,24,인천시,태양광,0.0
2024-01-08,1,인천시,태양광,0.0
2024-01-08,2,인천시,태양광,0.0
2024-01-08,3,인천시,태양광,8e-05
2024-01-08,4,인천시,태양광,0.0
2024-01-08,5,인천시,태양광,0.0
2024-01-08,6,인천시,태양광,0.0
2024-01-08,7,인천시,태양광,0.0
2024-01-08,8,인천시,태양광,0.009583
2024-01-08,9,인천시,태양광,2.170914
2024-01-08,10,인천시,태양광,10.43417
2024-01-08,11,인천시,태양광,18.432125
2024-01-08,12,인천시,태양광,24.994602
2024-01-08,13,인천시,태양광,29.702301
